sourceId,districtGu,districtDong,locationLabel,point,lat,lng,widthMeter,lengthMeter,areaSquareMeter,crossingState
crosswalk:1,해운대구,중동,동성장여관,POINT(129.1653682 35.1623207),35.1623207,129.1653682,6,23,139,TRAFFIC_SIGNALS
crosswalk:2,해운대구,중동,동성장여관,POINT(129.1650651 35.1621304),35.1621304,129.1650651,11,16,110,TRAFFIC_SIGNALS
crosswalk:3,사하구,신평동,신익강변타운,POINT(128.9623057 35.0946777),35.0946777,128.9623057,8,20,162,TRAFFIC_SIGNALS
crosswalk:4,해운대구,중동,동성장여관,POINT(129.1653443 35.1621397),35.1621397,129.1653443,8,30,202,TRAFFIC_SIGNALS
crosswalk:5,기장군,장안읍,,POINT(129.3028907 35.3404937),35.3404937,129.3028907,4,12,48,TRAFFIC_SIGNALS
crosswalk:6,기장군,장안읍,,POINT(129.3029174 35.3406447),35.3406447,129.3029174,6,13,77,TRAFFIC_SIGNALS
crosswalk:7,기장군,장안읍,,POINT(129.3027384 35.3406539),35.3406539,129.3027384,6,14,85,TRAFFIC_SIGNALS
crosswalk:8,기장군,철마면,,POINT(129.1232316 35.3357737),35.3357737,129.1232316,8,17,142,TRAFFIC_SIGNALS
crosswalk:9,강서구,강동동,,POINT(128.9285118 35.2210758),35.2210758,128.9285118,8,36,283,TRAFFIC_SIGNALS
crosswalk:10,기장군,철마면,,POINT(129.1096704 35.3096357),35.3096357,129.1096704,6,14,88,TRAFFIC_SIGNALS
crosswalk:11,금정구,두구동,,POINT(129.1080623 35.3077108),35.3077108,129.1080623,6,21,123,TRAFFIC_SIGNALS
crosswalk:12,기장군,철마면,,POINT(129.1156510 35.3226456),35.3226456,129.1156510,6,19,113,TRAFFIC_SIGNALS
crosswalk:13,금정구,두구동,,POINT(129.1078520 35.3075989),35.3075989,129.1078520,7,27,135,TRAFFIC_SIGNALS
crosswalk:14,금정구,두구동,,POINT(129.1079176 35.3074001),35.3074001,129.1079176,6,17,98,TRAFFIC_SIGNALS
crosswalk:15,금정구,두구동,,POINT(129.1074827 35.3066756),35.3066756,129.1074827,6,16,102,TRAFFIC_SIGNALS
crosswalk:16,금정구,노포동,,POINT(129.0807520 35.3040542),35.3040542,129.0807520,6,11,57,TRAFFIC_SIGNALS
crosswalk:17,해운대구,중동,엘시티앞,POINT(129.1691892 35.1617913),35.1617913,129.1691892,,,,TRAFFIC_SIGNALS
crosswalk:18,해운대구,중동,엘시티앞,POINT(129.1692737 35.1618957),35.1618957,129.1692737,,,,TRAFFIC_SIGNALS
crosswalk:19,해운대구,중동,엘시티앞,POINT(129.1689540 35.1619743),35.1619743,129.1689540,,,,TRAFFIC_SIGNALS
crosswalk:20,해운대구,중동,,POINT(129.1676905 35.1620509),35.1620509,129.1676905,,,,TRAFFIC_SIGNALS
crosswalk:21,기장군,장안읍,,POINT(129.3027295 35.3404999),35.3404999,129.3027295,6,12,76,TRAFFIC_SIGNALS
crosswalk:22,강서구,강동동,,POINT(128.9293086 35.2215722),35.2215722,128.9293086,15,26,207,TRAFFIC_SIGNALS
crosswalk:23,해운대구,반여동,반석교앞,POINT(129.1403223 35.2180701),35.2180701,129.1403223,11,7,73,TRAFFIC_SIGNALS
crosswalk:24,해운대구,석대동,,POINT(129.1207318 35.2181936),35.2181936,129.1207318,4,4,16,TRAFFIC_SIGNALS
crosswalk:25,해운대구,우동,바다파출소,POINT(129.1602898 35.1598223),35.1598223,129.1602898,6,13,81,TRAFFIC_SIGNALS
crosswalk:26,해운대구,우동,까르푸 뒤 사거리,POINT(129.1467033 35.1570735),35.1570735,129.1467033,7,15,86,TRAFFIC_SIGNALS
crosswalk:27,해운대구,좌동,좌동초교(35),POINT(129.1759312 35.1761519),35.1761519,129.1759312,12,6,77,TRAFFIC_SIGNALS
crosswalk:28,해운대구,우동,까르푸 뒤 사거리,POINT(129.1466358 35.1572480),35.1572480,129.1466358,6,22,130,TRAFFIC_SIGNALS
crosswalk:29,해운대구,우동,마린시티 2지점,POINT(129.1443057 35.1578947),35.1578947,129.1443057,6,16,95,TRAFFIC_SIGNALS
crosswalk:30,해운대구,우동,마린시티 2지점,POINT(129.1439777 35.1580105),35.1580105,129.1439777,6,14,80,TRAFFIC_SIGNALS
crosswalk:31,해운대구,우동,마린시티 8지점,POINT(129.1460919 35.1552959),35.1552959,129.1460919,6,12,74,TRAFFIC_SIGNALS
crosswalk:32,해운대구,우동,마린시티 8지점,POINT(129.1459926 35.1554325),35.1554325,129.1459926,7,17,93,TRAFFIC_SIGNALS
crosswalk:33,해운대구,우동,마린시티 8지점,POINT(129.1458467 35.1553726),35.1553726,129.1458467,7,19,109,TRAFFIC_SIGNALS
crosswalk:34,해운대구,우동,마린시티 8지점,POINT(129.1459120 35.1552374),35.1552374,129.1459120,6,15,88,TRAFFIC_SIGNALS
crosswalk:35,해운대구,좌동,좌동버스종점(24),POINT(129.1783778 35.1737379),35.1737379,129.1783778,5,11,41,TRAFFIC_SIGNALS
crosswalk:36,해운대구,우동,마린시티 3지점,POINT(129.1455055 35.1575661),35.1575661,129.1455055,6,12,71,TRAFFIC_SIGNALS
crosswalk:37,해운대구,우동,해운대소방서,POINT(129.1428101 35.1597825),35.1597825,129.1428101,6,15,87,TRAFFIC_SIGNALS
crosswalk:38,해운대구,우동,대우마리나센터,POINT(129.1492120 35.1581357),35.1581357,129.1492120,5,11,62,TRAFFIC_SIGNALS
crosswalk:39,해운대구,우동,동백섬입구,POINT(129.1510610 35.1575858),35.1575858,129.1510610,6,10,58,TRAFFIC_SIGNALS
crosswalk:40,해운대구,송정동,호민주유소,POINT(129.2045492 35.1907793),35.1907793,129.2045492,6,14,81,TRAFFIC_SIGNALS
crosswalk:41,해운대구,우동,해운대맨션(직결),POINT(129.1579509 35.1602429),35.1602429,129.1579509,6,13,80,TRAFFIC_SIGNALS
crosswalk:42,해운대구,좌동,좌동버스종점(24),POINT(129.1779840 35.1739100),35.1739100,129.1779840,7,23,131,TRAFFIC_SIGNALS
crosswalk:43,해운대구,우동,까르푸 뒤 사거리,POINT(129.1469244 35.1571471),35.1571471,129.1469244,6,15,89,TRAFFIC_SIGNALS
crosswalk:44,해운대구,우동,까르푸 뒤 사거리,POINT(129.1468116 35.1573554),35.1573554,129.1468116,6,14,85,TRAFFIC_SIGNALS
crosswalk:45,해운대구,중동,,POINT(129.1821306 35.1646260),35.1646260,129.1821306,7,28,163,TRAFFIC_SIGNALS
crosswalk:46,해운대구,우동,까멜리아아파트,POINT(129.1482457 35.1565704),35.1565704,129.1482457,6,15,88,TRAFFIC_SIGNALS
crosswalk:47,해운대구,우동,까멜리아아파트,POINT(129.1487749 35.1568214),35.1568214,129.1487749,6,15,92,TRAFFIC_SIGNALS
crosswalk:48,해운대구,우동,대우트럼프월드마린 C동앞,POINT(129.1432808 35.1559370),35.1559370,129.1432808,6,23,140,TRAFFIC_SIGNALS
crosswalk:49,해운대구,우동,대우트럼프월드마린 C동앞,POINT(129.1435294 35.1560358),35.1560358,129.1435294,6,20,116,TRAFFIC_SIGNALS
crosswalk:50,해운대구,우동,대우트럼프월드마린 C동앞,POINT(129.1434052 35.1562376),35.1562376,129.1434052,6,24,140,TRAFFIC_SIGNALS
crosswalk:51,해운대구,우동,대우트럼프월드마린 A동 앞,POINT(129.1428334 35.1548411),35.1548411,129.1428334,6,20,119,TRAFFIC_SIGNALS
crosswalk:52,해운대구,우동,대우트럼프월드마린 A동 앞,POINT(129.1425816 35.1547072),35.1547072,129.1425816,6,17,99,TRAFFIC_SIGNALS
crosswalk:53,해운대구,반여동,반여동 탑마트,POINT(129.1203640 35.2045148),35.2045148,129.1203640,5,12,43,TRAFFIC_SIGNALS
crosswalk:54,해운대구,우동,마린시티 1지점,POINT(129.1431744 35.1581187),35.1581187,129.1431744,4,17,67,TRAFFIC_SIGNALS
crosswalk:55,해운대구,우동,마린시티 1지점,POINT(129.1433679 35.1581827),35.1581827,129.1433679,4,13,52,TRAFFIC_SIGNALS
crosswalk:56,해운대구,우동,마린시티 1지점,POINT(129.1432282 35.1582979),35.1582979,129.1432282,4,15,60,TRAFFIC_SIGNALS
crosswalk:57,해운대구,우동,마린시티 5지점,POINT(129.1416450 35.1569359),35.1569359,129.1416450,6,14,82,TRAFFIC_SIGNALS
crosswalk:58,해운대구,우동,마린시티 2지점,POINT(129.1440926 35.1578171),35.1578171,129.1440926,6,18,105,TRAFFIC_SIGNALS
crosswalk:59,해운대구,우동,마린시티 2지점,POINT(129.1441947 35.1580941),35.1580941,129.1441947,6,18,104,TRAFFIC_SIGNALS
crosswalk:60,해운대구,우동,마린시티 8지점,POINT(129.1470581 35.1548850),35.1548850,129.1470581,6,15,91,TRAFFIC_SIGNALS
crosswalk:61,해운대구,우동,마린시티 8지점,POINT(129.1471240 35.1551197),35.1551197,129.1471240,6,14,80,TRAFFIC_SIGNALS
crosswalk:62,해운대구,우동,일신아파트(해운대구 우1동 1410-3),POINT(129.1456586 35.1545625),35.1545625,129.1456586,6,14,81,TRAFFIC_SIGNALS
crosswalk:63,해운대구,우동,마린시티 7지점,POINT(129.1446651 35.1557079),35.1557079,129.1446651,6,12,71,TRAFFIC_SIGNALS
