sourceId,districtGu,name,point,lat,lng,widthMeter,areaSquareMeter,structureCode,structureName,scls,ufid
stairs:1,강서구,계단,POINT(128.8749888 35.1088035),35.1088035,128.8749888,2.00,20.01,SRD001,계단,C0393323,100035816056C03910100000000000283
stairs:2,강서구,계단,POINT(128.9001140 35.0810366),35.0810366,128.9001140,1.70,22.44,SRD001,계단,C0393323,100035816067C03910100000000000284
stairs:3,강서구,계단,POINT(128.9139992 35.0999602),35.0999602,128.9139992,2.90,52.16,SRD001,계단,C0393323,100035816067C03910100000000001596
stairs:4,강서구,계단,POINT(128.8579864 35.1250968),35.1250968,128.8579864,1.80,108.93,SRD001,계단,C0393323,100035816045C03910100000000001607
stairs:5,강서구,계단,POINT(128.9846982 35.2098586),35.2098586,128.9846982,0.00,5.16,SRD001,계단,C0393323,100035816020C03910100000000009395
stairs:6,강서구,계단,POINT(128.9846605 35.2098576),35.2098576,128.9846605,0.00,5.41,SRD001,계단,C0393323,100035816020C03910100000000009396
stairs:7,강서구,계단,POINT(128.9845295 35.2097460),35.2097460,128.9845295,0.00,5.21,SRD001,계단,C0393323,100035816020C03910100000000009397
stairs:8,강서구,계단,POINT(128.9826764 35.2091687),35.2091687,128.9826764,0.00,8.23,SRD001,계단,C0393323,100035816020C03910100000000009398
stairs:9,강서구,대저생태공원,POINT(128.9854153 35.2104377),35.2104377,128.9854153,0.00,20.67,SRD001,계단,C0393323,100035816020C03910100000000009399
stairs:10,강서구,대저생태공원,POINT(128.9853735 35.2104872),35.2104872,128.9853735,0.00,24.43,SRD001,계단,C0393323,100035816020C03910100000000009400
stairs:11,강서구,부산광역시농업기술센터,POINT(128.9869322 35.2130678),35.2130678,128.9869322,0.00,55.80,SRD001,계단,C0393323,100035816020C03910100000000009401
stairs:12,강서구,계단,POINT(128.9846849 35.2140179),35.2140179,128.9846849,0.00,13.84,SRD001,계단,C0393323,100035816020C03910100000000009402
stairs:13,강서구,사덕배수펌푸장,POINT(128.9841739 35.2100914),35.2100914,128.9841739,0.00,52.30,SRD001,계단,C0393323,100035816020C03910100000000009403
stairs:14,강서구,계단,POINT(128.9845406 35.2105355),35.2105355,128.9845406,0.00,58.28,SRD001,계단,C0393323,100035816020C03910100000000009404
stairs:15,강서구,동훈산업,POINT(128.9819556 35.2192559),35.2192559,128.9819556,0.00,1.26,SRD001,계단,C0393323,100035816020C03910100000000009407
stairs:16,강서구,책임FA,POINT(128.9846465 35.2204212),35.2204212,128.9846465,0.00,9.40,SRD001,계단,C0393323,100035816020C03910100000000009408
stairs:17,강서구,계단,POINT(128.9610388 35.2212955),35.2212955,128.9610388,0.00,4.96,SRD001,계단,C0393323,100035816019C03910100000000009475
stairs:18,강서구,계단,POINT(128.9684631 35.2235056),35.2235056,128.9684631,0.00,8.78,SRD001,계단,C0393323,100035816019C03910100000000009476
stairs:19,강서구,계단,POINT(128.9411047 35.2217876),35.2217876,128.9411047,0.00,27.14,SRD001,계단,C0393323,100035816018C03910100000000009477
stairs:20,강서구,계단,POINT(128.9382277 35.2190945),35.2190945,128.9382277,0.00,9.16,SRD001,계단,C0393323,100035816018C03910100000000009478
stairs:21,강서구,계단,POINT(128.9384122 35.2197275),35.2197275,128.9384122,0.00,3.04,SRD001,계단,C0393323,100035816018C03910100000000009479
stairs:22,강서구,계단,POINT(128.9452151 35.2194628),35.2194628,128.9452151,0.00,14.51,SRD001,계단,C0393323,100035816018C03910100000000009483
stairs:23,강서구,계단,POINT(128.9460650 35.2192534),35.2192534,128.9460650,0.00,4.49,SRD001,계단,C0393323,100035816018C03910100000000009484
stairs:24,강서구,계단,POINT(128.9461980 35.2193197),35.2193197,128.9461980,0.00,2.89,SRD001,계단,C0393323,100035816018C03910100000000009485
stairs:25,강서구,계단,POINT(128.9592205 35.2165785),35.2165785,128.9592205,0.00,6.40,SRD001,계단,C0393323,100035816019C03910100000000009495
stairs:26,강서구,계단,POINT(128.9611755 35.2177752),35.2177752,128.9611755,0.00,5.48,SRD001,계단,C0393323,100035816019C03910100000000009496
stairs:27,강서구,계단,POINT(128.9615709 35.2161357),35.2161357,128.9615709,0.00,6.75,SRD001,계단,C0393323,100035816019C03910100000000009497
stairs:28,강서구,계단,POINT(128.9541826 35.2120882),35.2120882,128.9541826,0.00,6.77,SRD001,계단,C0393323,100035816019C03910100000000009498
stairs:29,강서구,계단,POINT(128.9530976 35.2103856),35.2103856,128.9530976,0.00,6.65,SRD001,계단,C0393323,100035816019C03910100000000009499
