"elevatorId","stationId","stationName","lineName","entranceNo","point"
"1","134","노포","1","2","POINT(129.0948423568854 35.28335313644417)"
"2","134","노포","1","2","POINT(129.0948423568854 35.28335313644417)"
"3","133","범어사","1","3","POINT(129.09250550141346 35.27283223499074)"
"4","133","범어사","1","4","POINT(129.09278032259323 35.27283649082446)"
"7","132","남산","1","3","POINT(129.092203688597 35.2649434570554)"
"8","132","남산","1","4","POINT(129.09251004057748 35.264893099999796)"
"11","131","두실","1","3","POINT(129.09123614233232 35.25679583731445)"
"12","131","두실","1","4","POINT(129.09151090936012 35.256800097927)"
"15","130","구서","1","3","POINT(129.09124109448788 35.248009599106005)"
"16","130","구서","1","4","POINT(129.09147144803484 35.24799660522875)"
"19","128","부산대","1","1","POINT(129.08927663882125 35.22924563761768)"
"20","128","부산대","1","2","POINT(129.08971528551757 35.22922003969131)"
"21","127","온천장","1","2","POINT(129.08638372726332 35.21963524448761)"
"22","126","명륜","1","2","POINT(129.079689586322 35.2120636579276)"
"23","125","동래","1","3","POINT(129.0781928232198 35.20589845522346)"
"24","125","동래","1","4","POINT(129.078719836296 35.2058984164904)"
"25","124","교대","1","5","POINT(129.07973656308172 35.19625663897389)"
"26","124","교대","1","8","POINT(129.0801876189778 35.196293946077084)"
"29","124","교대","1","2","POINT(129.08026812208226 35.19471554426169)"
"30","123","연산","1","3","POINT(129.08105222827083 35.18586174719042)"
"31","123","연산","1","5","POINT(129.08104475793488 35.18642960287651)"
"32","123","연산","1","14","POINT(129.08181946403823 35.18667761790342)"
"33","122","시청","1","3","POINT(129.07623693269082 35.179528197030415)"
"34","122","시청","1","4","POINT(129.0764958852235 35.17935253635867)"
"37","121","양정","1","1","POINT(129.070873658172 35.1727622422131)"
"38","121","양정","1","2","POINT(129.07114402940675 35.17260442087189)"
"39","121","양정","1","7","POINT(129.07131818248806 35.17341248399695)"
"40","121","양정","1","6","POINT(129.07178670637498 35.1732783060232)"
"43","120","부전","1","1","POINT(129.06232282746444 35.162283504105766)"
"44","120","부전","1","6","POINT(129.06341348374153 35.162886726138986)"
"47","119","서면","1","13","POINT(129.059053566137 35.1584010581377)"
"48","119","서면","1","12","POINT(129.06019535346417 35.158859255577376)"
"51","118","범내골","1","1","POINT(129.05908540989583 35.14660429316392)"
"52","118","범내골","1","4","POINT(129.05956288618572 35.14683047762996)"
"53","118","범내골","1","7","POINT(129.059077179578 35.148019260036)"
"54","118","범내골","1","6","POINT(129.059507686543 35.1476875216478)"
"57","117","범일","1","7","POINT(129.0591792987204 35.14118670082633)"
"58","117","범일","1","6","POINT(129.0595204533815 35.14079340011648)"
"61","116","좌천","1","3","POINT(129.053944193553 35.1341203257691)"
"65","115","부산진","1","5","POINT(129.0478245667841 35.12805092903194)"
"66","115","부산진","1","6","POINT(129.04815904856216 35.12782899438762)"
"73","113","부산역","1","5","POINT(129.0392833611165 35.11500186066211)"
"74","113","부산역","1","4","POINT(129.03940791244526 35.11427882707434)"
"77","112","중앙","1","13","POINT(129.036145509173 35.104817305347474)"
"78","112","중앙","1","8","POINT(129.0364971480863 35.10440586857343)"
"79","112","중앙","1","12","POINT(129.0364786312113 35.10542450579849)"
