place_key,source_dataset,source_place_id,place_name,ui_category,raw_category,source_category,category_source,category_match_method,is_adopted_category,district_gu,address,point_wkt,latitude,longitude,provider_place_id,public_facility_type,public_facility_id,public_facility_name,public_facility_address,accessibility_count,accessibility_type_codes,accessibility_type_labels
place:1,erd_ready,1,중앙동주민센터,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 중앙대로41번길 10,POINT(129.0353000 35.1013000),35.1013000,129.0353000,,,,,,1,accessibleToilet,장애인 화장실
place:2,erd_ready,2,창선치안센터,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 광복중앙로 1,POINT(129.0312000 35.0995000),35.0995000,129.0312000,,,,,,0,,
place:3,erd_ready,3,보수공영주차장,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 중구로75번길 25,POINT(129.0279000 35.1039000),35.1039000,129.0279000,,,,,,0,,
place:4,erd_ready,4,동광동 다목적커뮤니티센터,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 샘길 18-8,POINT(129.0333000 35.1065700),35.1065700,129.0333000,,,,,,0,,
place:5,erd_ready,5,용두산공영주차장,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 대청로 120,POINT(129.0331000 35.1024000),35.1024000,129.0331000,,,,,,0,,
place:6,erd_ready,6,중구 종합사회복지관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 망양로 309,POINT(129.0282000 35.1058000),35.1058000,129.0282000,,,,,,1,accessibleToilet,장애인 화장실
place:7,erd_ready,7,보수동주민센터,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 보수대로140번길 61,POINT(129.0247000 35.1062000),35.1062000,129.0247000,,,,,,1,accessibleToilet,장애인 화장실
place:8,erd_ready,8,영주공영주차장,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 동영로 58,POINT(129.0322000 35.1108000),35.1108000,129.0322000,,,,,,0,,
place:9,erd_ready,9,민주항쟁기념관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 민주공원길 19,POINT(129.0280000 35.1099000),35.1099000,129.0280000,,,,,,1,accessibleToilet,장애인 화장실
place:10,erd_ready,10,박기종 기념관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 망양로 362,POINT(129.0310000 35.1092600),35.1092600,129.0310000,,,,,,0,,
place:11,erd_ready,11,부산보수동우체국,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 흑교로45번길 7,POINT(129.0243000 35.1035000),35.1035000,129.0243000,,,,,,0,,
place:12,erd_ready,12,중구청소년문화의집,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 보수대로124번길 24-2,POINT(129.0226000 35.1058000),35.1058000,129.0226000,,,,,,1,accessibleToilet,장애인 화장실
place:13,erd_ready,13,광복지하도상가A번화장실,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 중앙대로 지하17,POINT(129.0356000 35.0983000),35.0983000,129.0356000,,,,,,1,accessibleToilet,장애인 화장실
place:14,erd_ready,14,용두산공원 서편,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 용두산길 35-28 (광복동2가),POINT(129.0321000 35.1005000),35.1005000,129.0321000,,,,,,1,accessibleToilet,장애인 화장실
place:15,erd_ready,15,부평공영주차장,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 중구로33번길 32,POINT(129.0262000 35.1012000),35.1012000,129.0262000,,,,,,0,,
place:16,erd_ready,16,부산출입국외국인청 개방화장실,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 충장대로 22-1,POINT(129.0394000 35.1045000),35.1045000,129.0394000,,,,,,0,,
place:17,erd_ready,17,부산광역시립중앙도서관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 망양로193번길 146,POINT(129.0270000 35.1100000),35.1100000,129.0270000,,,,,,1,accessibleToilet,장애인 화장실
place:18,erd_ready,18,보수파출소,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 흑교로 77,POINT(129.0234000 35.1060000),35.1060000,129.0234000,,,,,,0,,
place:19,erd_ready,19,국립수산물품질관리원,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 중앙대로30번길 8,POINT(129.0374000 35.0998000),35.0998000,129.0374000,,,,,,1,accessibleToilet,장애인 화장실
place:20,erd_ready,20,부산 종합관광안내소,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 구덕로 31,POINT(129.0323000 35.0977000),35.0977000,129.0323000,,,,,,1,accessibleToilet,장애인 화장실
place:21,erd_ready,21,부산세관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 충장대로 20,POINT(129.0385000 35.1049000),35.1049000,129.0385000,,,,,,1,accessibleToilet,장애인 화장실
place:22,erd_ready,22,고맙습니다.글마루작은도서관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 동영로 87-1,POINT(129.0316000 35.1128000),35.1128000,129.0316000,,,,,,0,,
place:23,erd_ready,23,부산지방보훈청(1~2층),기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 중앙대로148번길 13,POINT(129.0393000 35.1105000),35.1105000,129.0393000,,,,,,0,,
place:24,erd_ready,24,남포지구대,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 해관로 19,POINT(129.0356000 35.1005000),35.1005000,129.0356000,,,,,,0,,
place:25,erd_ready,25,영주1동주민센터,기타,ETC,ETC,erd_v3_policy,erd_ready,true,중구,부산광역시 중구 대영로224번길 10,POINT(129.0350000 35.1111000),35.1111000,129.0350000,,,,,,1,accessibleToilet,장애인 화장실
