id,placeId,featureType,isAvailable
1,1,accessibleToilet,true
2,6,accessibleToilet,true
3,7,accessibleToilet,true
4,9,accessibleToilet,true
5,12,accessibleToilet,true
6,13,accessibleToilet,true
7,14,accessibleToilet,true
8,17,accessibleToilet,true
9,19,accessibleToilet,true
10,20,accessibleToilet,true
11,21,accessibleToilet,true
12,25,accessibleToilet,true
13,29,accessibleToilet,true
14,30,accessibleToilet,true
15,32,accessibleToilet,true
16,33,accessibleToilet,true
17,34,accessibleToilet,true
18,35,accessibleToilet,true
19,36,accessibleToilet,true
20,38,accessibleToilet,true
21,41,accessibleToilet,true
22,42,accessibleToilet,true
23,43,accessibleToilet,true
24,46,accessibleToilet,true
25,48,accessibleToilet,true
26,49,accessibleToilet,true
27,52,accessibleToilet,true
28,54,accessibleToilet,true
29,56,accessibleToilet,true
30,58,accessibleToilet,true
31,61,accessibleToilet,true
32,64,accessibleToilet,true
33,66,accessibleToilet,true
34,67,accessibleToilet,true
35,68,accessibleToilet,true
36,74,accessibleToilet,true
37,76,accessibleToilet,true
38,77,accessibleToilet,true
39,80,accessibleToilet,true
40,81,accessibleToilet,true
41,82,accessibleToilet,true
42,83,accessibleToilet,true
43,85,accessibleToilet,true
44,86,accessibleToilet,true
45,87,accessibleToilet,true
46,88,accessibleToilet,true
47,91,accessibleToilet,true
48,92,accessibleToilet,true
49,94,accessibleToilet,true
50,96,accessibleToilet,true
51,99,accessibleToilet,true
52,100,accessibleToilet,true
53,101,accessibleToilet,true
54,103,accessibleToilet,true
55,104,accessibleToilet,true
56,106,accessibleToilet,true
57,107,accessibleToilet,true
58,108,accessibleToilet,true
59,109,accessibleToilet,true
60,110,accessibleToilet,true
61,113,accessibleToilet,true
62,114,accessibleToilet,true
63,115,accessibleToilet,true
64,124,accessibleToilet,true
65,125,accessibleToilet,true
66,127,accessibleToilet,true
67,128,accessibleToilet,true
68,129,accessibleToilet,true
69,130,accessibleToilet,true
70,131,accessibleToilet,true
71,132,accessibleToilet,true
72,133,accessibleToilet,true
73,136,accessibleToilet,true
74,137,accessibleToilet,true
75,139,accessibleToilet,true
76,140,accessibleToilet,true
77,142,accessibleToilet,true
78,143,accessibleToilet,true
79,144,accessibleToilet,true
80,145,accessibleToilet,true
81,147,accessibleToilet,true
82,148,accessibleToilet,true
83,150,accessibleToilet,true
84,152,accessibleToilet,true
85,153,accessibleToilet,true
86,157,accessibleToilet,true
87,158,accessibleToilet,true
88,159,accessibleToilet,true
89,162,accessibleToilet,true
