placeId,name,category,address,point,providerPlaceId
1,중앙동주민센터,ETC,부산광역시 중구 중앙대로41번길 10,POINT(129.0353000 35.1013000),
2,창선치안센터,ETC,부산광역시 중구 광복중앙로 1,POINT(129.0312000 35.0995000),
3,보수공영주차장,ETC,부산광역시 중구 중구로75번길 25,POINT(129.0279000 35.1039000),
4,동광동 다목적커뮤니티센터,ETC,부산광역시 중구 샘길 18-8,POINT(129.0333000 35.1065700),
5,용두산공영주차장,ETC,부산광역시 중구 대청로 120,POINT(129.0331000 35.1024000),
6,중구 종합사회복지관,ETC,부산광역시 중구 망양로 309,POINT(129.0282000 35.1058000),
7,보수동주민센터,ETC,부산광역시 중구 보수대로140번길 61,POINT(129.0247000 35.1062000),
8,영주공영주차장,ETC,부산광역시 중구 동영로 58,POINT(129.0322000 35.1108000),
9,민주항쟁기념관,ETC,부산광역시 중구 민주공원길 19,POINT(129.0280000 35.1099000),
10,박기종 기념관,ETC,부산광역시 중구 망양로 362,POINT(129.0310000 35.1092600),
11,부산보수동우체국,ETC,부산광역시 중구 흑교로45번길 7,POINT(129.0243000 35.1035000),
12,중구청소년문화의집,ETC,부산광역시 중구 보수대로124번길 24-2,POINT(129.0226000 35.1058000),
13,광복지하도상가A번화장실,ETC,부산광역시 중구 중앙대로 지하17,POINT(129.0356000 35.0983000),
14,용두산공원 서편,ETC,부산광역시 중구 용두산길 35-28 (광복동2가),POINT(129.0321000 35.1005000),
15,부평공영주차장,ETC,부산광역시 중구 중구로33번길 32,POINT(129.0262000 35.1012000),
16,부산출입국외국인청 개방화장실,ETC,부산광역시 중구 충장대로 22-1,POINT(129.0394000 35.1045000),
17,부산광역시립중앙도서관,ETC,부산광역시 중구 망양로193번길 146,POINT(129.0270000 35.1100000),
18,보수파출소,ETC,부산광역시 중구 흑교로 77,POINT(129.0234000 35.1060000),
19,국립수산물품질관리원,ETC,부산광역시 중구 중앙대로30번길 8,POINT(129.0374000 35.0998000),
20,부산 종합관광안내소,ETC,부산광역시 중구 구덕로 31,POINT(129.0323000 35.0977000),
21,부산세관,ETC,부산광역시 중구 충장대로 20,POINT(129.0385000 35.1049000),
22,고맙습니다.글마루작은도서관,ETC,부산광역시 중구 동영로 87-1,POINT(129.0316000 35.1128000),
23,부산지방보훈청(1~2층),ETC,부산광역시 중구 중앙대로148번길 13,POINT(129.0393000 35.1105000),
24,남포지구대,ETC,부산광역시 중구 해관로 19,POINT(129.0356000 35.1005000),
