sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:243,강서구,명지중교,35.1022484,128.9253468,0.00,51.75,100035816058C03910100000000040739,7.9,busan-road-polygon:23465,,13.0,RDQ006,301.3,crosswalk:3205,임해단지(3)명지동리,false,152.1,barrier_free_facility:9476,강서구육아종합지원센터,복지·돌봄,false,STC-0228,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.1022484,128.9253468","https://map.kakao.com/link/roadview/35.1022484,128.9253468"
stairs:15,강서구,동훈산업,35.2192559,128.9819556,0.00,1.26,100035816020C03910100000000009407,13.9,busan-road-polygon:3322,,7.2,RDQ006,604.2,crosswalk:3231,강서구청,false,323.7,barrier_free_facility:9146,조방낙지,음식·카페,false,STC-0013,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,EXCLUDED,EXCLUDE_PRIVATE_INDUSTRIAL,HIGH,name_has_private_internal_keyword:산업,"https://map.kakao.com/link/map/35.2192559,128.9819556","https://map.kakao.com/link/roadview/35.2192559,128.9819556"
stairs:300,강서구,계단,35.1277847,128.8445321,0.00,189.74,100035816044C03910100000000040807,100.4,busan-road-polygon:29123,,5.0,RDQ006,684.3,crosswalk:2903,미음지구1공구-1지점,false,848.2,barrier_free_facility:9706,24시가마솥 불향,음식·카페,false,STC-0281,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_LOW_CONNECTIVITY_VERY_STRONG,MEDIUM_HIGH,p4_road_gt_100m_no_crosswalk30_no_facility50,"https://map.kakao.com/link/map/35.1277847,128.8445321","https://map.kakao.com/link/roadview/35.1277847,128.8445321"
stairs:152,강서구,계단,35.1526023,128.8142406,0.00,56.52,100035816033C03910100000000011024,174.7,busan-road-polygon:42008,진해-청도선,13.5,RDQ006,454.6,crosswalk:3005,지사1지점,false,1497.3,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0144,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_LOW_CONNECTIVITY_VERY_STRONG,MEDIUM_HIGH,p4_road_gt_100m_no_crosswalk30_no_facility50,"https://map.kakao.com/link/map/35.1526023,128.8142406","https://map.kakao.com/link/roadview/35.1526023,128.8142406"
stairs:175,강서구,계단,35.0234649,128.8074516,0.00,40.67,100035816093C03910100000000037045,103.3,busan-road-polygon:23827,,1.5,RDQ005,1109.6,crosswalk:2800,(천성~눌차간)서중2교차로,false,65.0,public_toilet:1487,대양산업(주)대양가덕주유소,화장실,false,STC-0167,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_LOW_CONNECTIVITY_VERY_STRONG,MEDIUM_HIGH,p4_road_gt_100m_no_crosswalk30_no_facility50,"https://map.kakao.com/link/map/35.0234649,128.8074516","https://map.kakao.com/link/roadview/35.0234649,128.8074516"
stairs:323,강서구,계단,35.0807375,128.9093483,0.00,7.68,100035816067C03910100000000040877,111.8,busan-road-polygon:27266,,25.0,RDQ006,206.5,crosswalk:2952,명지주거단지 29지점,false,222.8,public_toilet:1608,명지오션시티 남쪽,화장실,false,STC-0302,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_LOW_CONNECTIVITY_VERY_STRONG,MEDIUM_HIGH,p4_road_gt_100m_no_crosswalk30_no_facility50,"https://map.kakao.com/link/map/35.0807375,128.9093483","https://map.kakao.com/link/roadview/35.0807375,128.9093483"
stairs:498,금정구,장서초교,35.2478602,129.0860774,4.40,10.84,100035913004C03910100000000021707,1.0,busan-road-polygon:56765,,16.0,RDQ006,91.6,crosswalk:3374,구서쌍용예가입구,false,214.9,barrier_free_facility:8346,일반음식점,음식·카페,false,STC-0453,1,P1,55,CANDIDATE,"도로 polygon 5m 이내, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.2478602,129.0860774","https://map.kakao.com/link/roadview/35.2478602,129.0860774"
stairs:427,금정구,부산대학교,35.2347824,129.0828558,3.00,51.99,100035913004C03910100000000021636,5.0,busan-road-polygon:56198,,11.8,RDQ006,321.0,crosswalk:3343,장전현대볼링센터,false,313.2,tourist_spot:94,부산대학교 박물관,관광지,false,STC-0391,1,P1,55,CANDIDATE,"도로 polygon 5m 이내, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:학교|대학교|대학,"https://map.kakao.com/link/map/35.2347824,129.0828558","https://map.kakao.com/link/roadview/35.2347824,129.0828558"
stairs:731,금정구,현곡초교,35.2268257,129.0968796,0.00,17.63,100035913004C03910100000000022815,2.1,busan-road-polygon:55582,,4.1,RDQ006,448.4,crosswalk:3369,부곡시장(우리약국),false,335.5,barrier_free_facility:8933,가마실로직업재활원,복지·돌봄,false,STC-0654,1,P1,50,CANDIDATE,도로 polygon 5m 이내,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.2268257,129.0968796","https://map.kakao.com/link/roadview/35.2268257,129.0968796"
stairs:494,금정구,금빛초교,35.2279550,129.0807594,1.20,30.38,100035913004C03910100000000021703,15.5,busan-road-polygon:52553,,11.5,RDQ006,225.2,crosswalk:3269,금정초교,false,29.8,barrier_free_facility:8546,장전2동주민센터,행정·공공기관,true,STC-0449,1,P2,40,CANDIDATE,"도로 polygon 20m 이내, 편의시설 50m 이내",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.2279550,129.0807594","https://map.kakao.com/link/roadview/35.2279550,129.0807594"
stairs:501,금정구,장서초교,35.2477682,129.0855550,7.00,6.29,100035913004C03910100000000021710,6.5,busan-road-polygon:56765,,16.0,RDQ006,43.4,crosswalk:3374,구서쌍용예가입구,false,260.3,barrier_free_facility:8346,일반음식점,음식·카페,false,STC-0456,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:초교,"https://map.kakao.com/link/map/35.2477682,129.0855550","https://map.kakao.com/link/roadview/35.2477682,129.0855550"
stairs:551,금정구,안국선원,35.2602947,129.0929415,0.00,136.37,100035909094C03910100000000022335,10.5,busan-road-polygon:45584,,11.9,RDQ006,143.2,crosswalk:3408,금강주유소,false,68.1,restaurant:65,카파도키아,음식·카페,false,STC-0496,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_RELIGIOUS,HIGH,name_has_private_internal_keyword:선원,"https://map.kakao.com/link/map/35.2602947,129.0929415","https://map.kakao.com/link/roadview/35.2602947,129.0929415"
