sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:13,강서구,사덕배수펌푸장,35.2100914,128.9841739,0.00,52.30,100035816020C03910100000000009403,0.0,busan-road-polygon:3297,,12.3,RDQ006,16.0,crosswalk:3190,대동사거리,true,153.4,barrier_free_facility:9318,파스쿠찌,음식·카페,false,STC-0011,1,P1,85,CANDIDATE,"도로 polygon과 겹침, 횡단보도 30m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2100914,128.9841739","https://map.kakao.com/link/roadview/35.2100914,128.9841739"
stairs:138,강서구,서부산유통지구역,35.1666044,128.9549687,0.00,172.31,100035816039C03910100000000010726,0.0,busan-road-polygon:13999,,38.0,RDQ006,60.8,crosswalk:2803,서부산유통단지 1지점,false,43.8,barrier_free_facility:9365,한국미쓰도요(주),음식·카페,true,STC-0131,1,P1,80,CANDIDATE,"도로 polygon과 겹침, 편의시설 50m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1666044,128.9549687","https://map.kakao.com/link/roadview/35.1666044,128.9549687"
stairs:139,강서구,서부산유통지구역,35.1664722,128.9546580,0.00,175.12,100035816039C03910100000000010727,0.0,busan-road-polygon:13999,,38.0,RDQ006,62.5,crosswalk:2803,서부산유통단지 1지점,false,47.5,barrier_free_facility:9361,KEM,의료·보건,true,STC-0132,1,P1,80,CANDIDATE,"도로 polygon과 겹침, 편의시설 50m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1664722,128.9546580","https://map.kakao.com/link/roadview/35.1664722,128.9546580"
stairs:195,강서구,계단,35.1489953,128.8303913,0.00,19.50,100035816044C03910100000000038159,0.0,busan-road-polygon:35898,,26.0,RDQ006,10.7,crosswalk:3000,지사4지점,true,226.4,barrier_free_facility:9729,가호프라자빌딩,의료·보건,false,STC-0183,1,P1,80,CANDIDATE,"도로 polygon과 겹침, 횡단보도 30m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1489953,128.8303913","https://map.kakao.com/link/roadview/35.1489953,128.8303913"
stairs:196,강서구,계단,35.1490386,128.8330573,0.00,7.62,100035816044C03910100000000038160,0.0,busan-road-polygon:35758,,35.0,RDQ006,12.7,crosswalk:3011,지사5지점,true,85.0,barrier_free_facility:9729,가호프라자빌딩,의료·보건,false,STC-0184,1,P1,80,CANDIDATE,"도로 polygon과 겹침, 횡단보도 30m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1490386,128.8330573","https://map.kakao.com/link/roadview/35.1490386,128.8330573"
stairs:53,강서구,계단,35.2189442,128.9350860,0.00,2.33,100035816018C03910100000000009525,0.0,busan-road-polygon:41458,거제-포항선,34.8,RDQ006,14.8,crosswalk:3248,대사초등학교,true,81.3,public_toilet:1648,서강주유소,화장실,false,STC-0050,1,P1,80,CANDIDATE,"도로 polygon과 겹침, 횡단보도 30m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2189442,128.9350860","https://map.kakao.com/link/roadview/35.2189442,128.9350860"
stairs:179,강서구,계단,35.0102311,128.8253767,0.00,2.00,100035816094C03910100000000037049,0.0,busan-road-polygon:25256,,8.0,RDQ006,2796.9,crosswalk:2800,(천성~눌차간)서중2교차로,false,18.4,public_toilet:1651,대항마을어촌관광단지,화장실,true,STC-0169,5,P1,75,CANDIDATE,"도로 polygon과 겹침, 편의시설 50m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0102311,128.8253767","https://map.kakao.com/link/roadview/35.0102311,128.8253767"
stairs:210,강서구,계단,35.0570802,128.8321998,0.00,2.31,100035816074C03910100000000038325,0.0,busan-road-polygon:25557,,17.0,RDQ006,3232.6,crosswalk:2799,녹산공단32지점(33지점직결),false,19.9,public_toilet:1621,가덕도동노인복지관 화장실,화장실,true,STC-0197,1,P1,75,CANDIDATE,"도로 polygon과 겹침, 편의시설 50m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0570802,128.8321998","https://map.kakao.com/link/roadview/35.0570802,128.8321998"
stairs:30,강서구,계단,35.2131886,128.9610677,0.00,72.88,100035816019C03910100000000009500,2.7,busan-road-polygon:41307,거제-포항선,35.0,RDQ006,240.7,crosswalk:3062,부산우편집중국주변,false,18.7,charging_station:5,대저역,전동보장구 충전소,true,STC-0027,1,P1,70,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2131886,128.9610677","https://map.kakao.com/link/roadview/35.2131886,128.9610677"
stairs:344,강서구,계단,35.0841865,128.8972188,0.00,47.86,100035816066C03910100000000040901,3.3,busan-road-polygon:30630,,23.0,RDQ006,18.8,crosswalk:2749,명지주거단지 14지점,true,263.2,barrier_free_facility:9451,명지2동 행정복지센터,행정·공공기관,false,STC-0323,1,P1,70,CANDIDATE,"도로 polygon 5m 이내, 횡단보도 30m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0841865,128.8972188","https://map.kakao.com/link/roadview/35.0841865,128.8972188"
