sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:86,강서구,강서구청,35.2116037,128.9804911,0.00,176.10,100035816020C03910100000000009559,37.4,busan-road-polygon:41139,거제-포항선,44.8,RDQ006,186.8,crosswalk:3230,서강여고,false,31.1,tourist_spot:24,부산 강서문화원,관광지,true,STC-0082,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.2116037,128.9804911","https://map.kakao.com/link/roadview/35.2116037,128.9804911"
stairs:95,강서구,부산강서체육관,35.2096014,128.9722091,0.00,153.87,100035816019C03910100000000009569,154.9,busan-road-polygon:4201,,48.5,RDQ006,264.2,crosswalk:2738,강서경기장,false,33.6,public_toilet:1589,강서체육공원 야외화장실,화장실,true,STC-0091,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.2096014,128.9722091","https://map.kakao.com/link/roadview/35.2096014,128.9722091"
stairs:35,강서구,강서체육공원,35.2100893,128.9710604,0.00,68.45,100035816019C03910100000000009505,160.6,busan-road-polygon:5862,,4.0,RDQ006,319.6,crosswalk:3212,대상지하차도,false,24.9,public_toilet:1639,강서체육공원야외화장실양궁장,화장실,true,STC-0032,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.2100893,128.9710604","https://map.kakao.com/link/roadview/35.2100893,128.9710604"
stairs:41,강서구,강서체육공원,35.2099288,128.9715779,0.00,104.69,100035816019C03910100000000009512,188.0,busan-road-polygon:41286,거제-포항선,24.9,RDQ006,292.7,crosswalk:3212,대상지하차도,false,49.3,public_toilet:1639,강서체육공원야외화장실양궁장,화장실,true,STC-0038,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.2099288,128.9715779","https://map.kakao.com/link/roadview/35.2099288,128.9715779"
stairs:331,강서구,계단,35.0937285,128.9200027,0.00,1.10,100035816067C03910100000000040887,20.1,busan-road-polygon:32823,,30.0,RDQ006,44.7,crosswalk:2783,,false,28.9,public_toilet:1588,연결녹지4호2,화장실,true,STC-0310,1,P4,15,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.0937285,128.9200027","https://map.kakao.com/link/roadview/35.0937285,128.9200027"
stairs:181,강서구,계단,35.0104122,128.8256653,0.00,1.86,100035816094C03910100000000037051,20.8,busan-road-polygon:25256,,8.0,RDQ006,2790.8,crosswalk:2800,(천성~눌차간)서중2교차로,false,37.8,public_toilet:1651,대항마을어촌관광단지,화장실,true,STC-0169,5,P4,15,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 15m 이내 계단 클러스터",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.0104122,128.8256653","https://map.kakao.com/link/roadview/35.0104122,128.8256653"
stairs:106,강서구,계단,35.2207257,128.9331833,0.00,9.98,100035816018C03910100000000009602,32.3,busan-road-polygon:7982,,7.0,RDQ006,131.9,crosswalk:3251,강동우체국,false,24.1,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,true,STC-0100,1,P4,15,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.2207257,128.9331833","https://map.kakao.com/link/roadview/35.2207257,128.9331833"
stairs:211,강서구,계단,35.0569079,128.8317325,0.00,34.85,100035816074C03910100000000038327,48.3,busan-road-polygon:25578,,2.5,RDQ006,3233.9,crosswalk:2800,(천성~눌차간)서중2교차로,false,27.5,public_toilet:1632,가덕도동행정복지센터,화장실,true,STC-0198,1,P4,15,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.0569079,128.8317325","https://map.kakao.com/link/roadview/35.0569079,128.8317325"
stairs:363,강서구,계단,35.0120969,128.8338075,0.00,30.38,100035816094C03910100000000040924,48.3,busan-road-polygon:27261,,6.0,RDQ006,3054.8,crosswalk:2800,(천성~눌차간)서중2교차로,false,33.9,barrier_free_facility:9844,더마레(THE MARE)104,음식·카페,true,STC-0342,1,P4,15,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.0120969,128.8338075","https://map.kakao.com/link/roadview/35.0120969,128.8338075"
stairs:89,강서구,강서체육공원,35.2110525,128.9722313,0.00,29.54,100035816019C03910100000000009562,61.2,busan-road-polygon:41296,거제-포항선,23.0,RDQ006,174.7,crosswalk:3212,대상지하차도,false,33.2,public_toilet:1571,강서체육공원 보조경기장2층,화장실,true,STC-0085,1,P4,15,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내",P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.2110525,128.9722313","https://map.kakao.com/link/roadview/35.2110525,128.9722313"
