sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:433,금정구,금정힐스테이트아파트,35.2397484,129.0815454,3.00,13.74,100035913004C03910100000000021642,0.0,busan-road-polygon:56618,,14.0,RDQ006,445.4,crosswalk:3287,제일김약국,false,318.4,barrier_free_facility:8496,장전1동 행정복지센터,행정·공공기관,false,STC-0397,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2397484,129.0815454","https://map.kakao.com/link/roadview/35.2397484,129.0815454"
stairs:467,금정구,장전현대2차아파트,35.2353889,129.0833580,3.50,136.39,100035913004C03910100000000021676,3.9,busan-road-polygon:56718,,10.8,RDQ006,263.0,crosswalk:3343,장전현대볼링센터,false,246.1,barrier_free_facility:8497,금샘복지센터,복지·돌봄,false,STC-0428,1,P1,55,CANDIDATE,"도로 polygon 5m 이내, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2353889,129.0833580","https://map.kakao.com/link/roadview/35.2353889,129.0833580"
stairs:728,금정구,부곡뉴그린아파트,35.2186403,129.0942344,0.00,6.50,100035913014C03910100000000022812,4.4,busan-road-polygon:54542,,4.4,RDQ006,360.8,crosswalk:3363,서동 서명초등학교,false,442.1,barrier_free_facility:9061,금정구 장애인복지관,복지·돌봄,false,STC-0651,1,P1,50,CANDIDATE,도로 polygon 5m 이내,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2186403,129.0942344","https://map.kakao.com/link/roadview/35.2186403,129.0942344"
stairs:648,금정구,장미아파트,35.2230662,129.1114953,0.00,16.02,100035913015C03910100000000022572,5.5,busan-road-polygon:60026,,10.0,RDQ006,129.9,crosswalk:3330,금사여중,false,190.9,barrier_free_facility:9096,금동경로당,복지·돌봄,false,STC-0581,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2230662,129.1114953","https://map.kakao.com/link/roadview/35.2230662,129.1114953"
stairs:713,금정구,부곡뉴그린아파트,35.2195989,129.0953546,0.00,20.23,100035913014C03910100000000022789,8.6,busan-road-polygon:54246,,12.5,RDQ006,303.0,crosswalk:3259,서동초교,false,328.4,barrier_free_facility:9061,금정구 장애인복지관,복지·돌봄,false,STC-0639,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2195989,129.0953546","https://map.kakao.com/link/roadview/35.2195989,129.0953546"
stairs:643,금정구,서동아신아파트,35.2219333,129.1063448,0.00,10.50,100035913015C03910100000000022567,17.0,busan-road-polygon:60263,,10.0,RDQ006,189.9,crosswalk:3321,금정전자공고,false,533.6,barrier_free_facility:9098,금사회동동행정복지센터,행정·공공기관,false,STC-0577,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2219333,129.1063448","https://map.kakao.com/link/roadview/35.2219333,129.1063448"
stairs:422,금정구,SK뷰1단지아파트,35.2447525,129.0856094,4.00,16.08,100035913004C03910100000000021631,30.6,busan-road-polygon:56790,,24.3,RDQ006,222.9,crosswalk:3289,파고다맨션,false,123.7,charging_station:10,구서1동행정복지센터,전동보장구 충전소,false,STC-0387,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2447525,129.0856094","https://map.kakao.com/link/roadview/35.2447525,129.0856094"
stairs:464,금정구,금정산SK뷰아파트,35.2270821,129.0812698,4.00,17.50,100035913004C03910100000000021673,44.1,busan-road-polygon:52355,,16.8,RDQ006,167.0,crosswalk:3395,문영학원,false,78.7,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0426,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2270821,129.0812698","https://map.kakao.com/link/roadview/35.2270821,129.0812698"
stairs:470,금정구,금정산SK뷰아파트,35.2264484,129.0809962,26.00,21.91,100035913004C03910100000000021679,65.4,busan-road-polygon:52547,,28.3,RDQ006,96.8,crosswalk:3395,문영학원,false,144.1,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0431,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2264484,129.0809962","https://map.kakao.com/link/roadview/35.2264484,129.0809962"
stairs:469,금정구,금정산SK뷰아파트,35.2265646,129.0806175,4.20,20.79,100035913004C03910100000000021678,67.3,busan-road-polygon:52547,,28.3,RDQ006,87.7,crosswalk:3395,문영학원,false,135.0,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0430,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2265646,129.0806175","https://map.kakao.com/link/roadview/35.2265646,129.0806175"
stairs:459,금정구,금정산SK뷰아파트,35.2266410,129.0802011,3.20,21.15,100035913004C03910100000000021668,74.0,busan-road-polygon:52492,,28.3,RDQ006,89.0,crosswalk:3395,문영학원,false,141.2,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0421,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2266410,129.0802011","https://map.kakao.com/link/roadview/35.2266410,129.0802011"
stairs:477,금정구,금정산SK뷰아파트,35.2267174,129.0797807,3.00,15.01,100035913004C03910100000000021686,83.4,busan-road-polygon:52631,,26.0,RDQ006,96.7,crosswalk:3394,문영학원,false,157.3,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0437,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2267174,129.0797807","https://map.kakao.com/link/roadview/35.2267174,129.0797807"
stairs:744,금정구,현대아파트,35.2294284,129.0952545,0.00,8.50,100035913004C03910100000000022828,84.8,busan-road-polygon:55485,,4.0,RDQ006,270.6,crosswalk:3345,대동대학(대동간호전문대),false,237.1,barrier_free_facility:8910,부곡2동 행정복지센터,행정·공공기관,false,STC-0662,2,P4,0,LOW_PRIORITY,"도로 polygon 20m 초과, 15m 이내 계단 클러스터",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2294284,129.0952545","https://map.kakao.com/link/roadview/35.2294284,129.0952545"
