sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode
stairs:470,금정구,금정산SK뷰아파트,35.2264484,129.0809962,26.00,21.91,100035913004C03910100000000021679,65.4,busan-road-polygon:52547,,28.3,RDQ006,96.8,crosswalk:3395,문영학원,false,144.1,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0431,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2264484,129.0809962","https://map.kakao.com/link/roadview/35.2264484,129.0809962",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:469,금정구,금정산SK뷰아파트,35.2265646,129.0806175,4.20,20.79,100035913004C03910100000000021678,67.3,busan-road-polygon:52547,,28.3,RDQ006,87.7,crosswalk:3395,문영학원,false,135.0,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0430,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2265646,129.0806175","https://map.kakao.com/link/roadview/35.2265646,129.0806175",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:459,금정구,금정산SK뷰아파트,35.2266410,129.0802011,3.20,21.15,100035913004C03910100000000021668,74.0,busan-road-polygon:52492,,28.3,RDQ006,89.0,crosswalk:3395,문영학원,false,141.2,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0421,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2266410,129.0802011","https://map.kakao.com/link/roadview/35.2266410,129.0802011",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:477,금정구,금정산SK뷰아파트,35.2267174,129.0797807,3.00,15.01,100035913004C03910100000000021686,83.4,busan-road-polygon:52631,,26.0,RDQ006,96.7,crosswalk:3394,문영학원,false,157.3,charging_station:9,장전2동행전복지센터,전동보장구 충전소,false,STC-0437,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2267174,129.0797807","https://map.kakao.com/link/roadview/35.2267174,129.0797807",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:815,기장군,현진에버빌아파트,35.3331938,129.1677493,0.00,23.33,100035909067C03910100000000022286,113.9,busan-road-polygon:82262,,24.0,RDQ006,182.4,crosswalk:2043,정관신도시(#10),false,156.3,barrier_free_facility:12772,일반음식점,음식·카페,false,STC-0727,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.3331938,129.1677493","https://map.kakao.com/link/roadview/35.3331938,129.1677493",LIKELY_EXCLUDE,MEDIUM_HIGH,residential_gt_100m_no_nearby_public_clue
stairs:1106,기장군,한빛아파트직원사택2단지,35.3377322,129.2828871,0.00,10.84,100035910062C03910100000000023232,182.9,busan-road-polygon:100224,,7.0,RDQ006,692.7,crosswalk:1888,(군도14호)7지점교차로,false,727.1,public_toilet:1989,장안천야구장,화장실,false,STC-0989,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.3377322,129.2828871","https://map.kakao.com/link/roadview/35.3377322,129.2828871",LIKELY_EXCLUDE,MEDIUM_HIGH,residential_gt_100m_no_nearby_public_clue
stairs:1144,남구,경동아파트,35.1164704,129.1165306,4.90,7.67,100035913055C03910100000000020927,65.3,busan-road-polygon:116698,,7.8,RDQ006,484.1,crosswalk:842,우리은행(용호지점),false,165.3,barrier_free_facility:5820,승진빌딩,복지·돌봄,false,STC-1021,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.1164704,129.1165306","https://map.kakao.com/link/roadview/35.1164704,129.1165306",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:1160,남구,오륙도에스케이뷰아파트,35.1036005,129.1168397,1.00,27.24,100035913055C03910100000000020943,91.9,busan-road-polygon:112185,,10.2,RDQ006,138.7,crosswalk:785,오륙도초등학교,false,326.4,barrier_free_facility:5845,오륙도대게,음식·카페,false,STC-1034,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.1036005,129.1168397","https://map.kakao.com/link/roadview/35.1036005,129.1168397",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:1401,동래구,동래센트럴파크하이츠2차,35.2115008,129.0855013,4.70,22.50,100035913014C03910100000000021736,92.7,busan-road-polygon:135733,,18.5,RDQ006,281.6,crosswalk:1097,명륜PB,false,287.3,barrier_free_facility:4669,"재단법인원불교부산울산교구,사회복지법인원광",복지·돌봄,false,STC-1256,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:하이츠,"https://map.kakao.com/link/map/35.2115008,129.0855013","https://map.kakao.com/link/roadview/35.2115008,129.0855013",LIKELY_EXCLUDE,MEDIUM,residential_p4_gt_50m_no_public_context
stairs:1445,동래구,명륜2차IPARK1단지아파트,35.2161900,129.0906814,3.00,32.99,100035913014C03910100000000021792,136.6,busan-road-polygon:54113,,2.0,RDQ006,301.5,crosswalk:1140,명륜아이파크2차 106동,false,435.2,restaurant:138,[백년가게]온천입구기장곰장어,음식·카페,false,STC-1296,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",RESIDENTIAL_MANUAL_REVIEW,EXCLUDE_PRIVATE_RESIDENTIAL,HIGH,name_has_private_internal_keyword:아파트,"https://map.kakao.com/link/map/35.2161900,129.0906814","https://map.kakao.com/link/roadview/35.2161900,129.0906814",LIKELY_EXCLUDE,MEDIUM_HIGH,residential_gt_100m_no_nearby_public_clue
