sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode
stairs:280,강서구,계단,35.1203967,128.8929309,0.00,5.06,100035816056C03910100000000040787,6.3,busan-road-polygon:31813,,2.0,RDQ006,206.9,crosswalk:3044,수협앞,false,49.8,public_toilet:1567,젤코바주유소,화장실,true,STC-0261,1,P2,40,CANDIDATE,"도로 polygon 20m 이내, 편의시설 50m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1203967,128.8929309","https://map.kakao.com/link/roadview/35.1203967,128.8929309",MANUAL_REVIEW,MEDIUM,p2_needs_context_check
stairs:204,강서구,계단,35.1488411,128.8110999,0.00,55.81,100035816043C03910100000000038177,5.9,busan-road-polygon:35557,,4.0,RDQ006,59.9,crosswalk:3005,지사1지점,false,1136.8,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0192,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1488411,128.8110999","https://map.kakao.com/link/roadview/35.1488411,128.8110999",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:238,강서구,계단,35.1379408,128.9186616,0.00,124.77,100035816047C03910100000000040733,7.5,busan-road-polygon:1777,,15.0,RDQ006,1557.6,crosswalk:2993,삼광초교,false,2350.9,barrier_free_facility:9433,그날이후불타는삼겹살,음식·카페,false,STC-0223,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1379408,128.9186616","https://map.kakao.com/link/roadview/35.1379408,128.9186616",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:201,강서구,계단,35.1488045,128.8178112,0.00,80.75,100035816043C03910100000000038170,7.8,busan-road-polygon:35551,,3.0,RDQ006,164.4,crosswalk:3013,지사2지점,false,1103.3,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0189,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1488045,128.8178112","https://map.kakao.com/link/roadview/35.1488045,128.8178112",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:266,강서구,계단,35.1072787,128.9212428,0.00,67.23,100035816057C03910100000000040769,10.4,busan-road-polygon:33715,,18.0,RDQ006,734.3,crosswalk:3047,명지동사무소,false,397.1,public_toilet:1493,명지노인종합복지관 화장실,화장실,false,STC-0248,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1072787,128.9212428","https://map.kakao.com/link/roadview/35.1072787,128.9212428",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:334,강서구,계단,35.0947432,128.9154520,0.00,60.53,100035816067C03910100000000040890,11.0,busan-road-polygon:32922,,14.0,RDQ006,156.1,crosswalk:2900,중흥S클래스 프라디움,false,297.3,public_toilet:1568,명지1동행정복지센터,화장실,false,STC-0313,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0947432,128.9154520","https://map.kakao.com/link/roadview/35.0947432,128.9154520",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:136,강서구,맥도생태공원,35.1550085,128.9558111,0.00,66.69,100035816039C03910100000000010724,13.0,busan-road-polygon:41494,남해고속국도제2지선,22.0,RDQ006,60.9,crosswalk:3217,강변가든,false,226.2,public_toilet:1653,낙동강관리본부 맥도생태공원 1,화장실,false,STC-0129,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1550085,128.9558111","https://map.kakao.com/link/roadview/35.1550085,128.9558111",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:148,강서구,계단,35.1503813,128.8197869,0.00,53.77,100035816033C03910100000000010895,13.2,busan-road-polygon:42067,,13.0,RDQ006,71.3,crosswalk:2883,지사2지점,false,1042.1,public_toilet:1591,지사민원센터,화장실,false,STC-0141,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1503813,128.8197869","https://map.kakao.com/link/roadview/35.1503813,128.8197869",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:145,강서구,계단,35.1597306,128.8586634,0.00,121.94,100035816035C03910100000000010745,16.2,busan-road-polygon:22786,,20.0,RDQ006,2087.4,crosswalk:2795,아성다이소물류창고,false,425.6,public_toilet:1569,남강공원,화장실,false,STC-0138,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1597306,128.8586634","https://map.kakao.com/link/roadview/35.1597306,128.8586634",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:142,강서구,계단,35.1553748,128.8855882,0.00,93.29,100035816036C03910100000000010740,16.5,busan-road-polygon:22004,,8.0,RDQ006,112.6,crosswalk:3180,등대휴게소,false,141.8,public_toilet:1517,녹산고향동산1(기념관),화장실,false,STC-0135,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1553748,128.8855882","https://map.kakao.com/link/roadview/35.1553748,128.8855882",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
