sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode,secondPassDecision,secondPassConfidence,secondPassReasonCode
stairs:280,강서구,계단,35.1203967,128.8929309,0.00,5.06,100035816056C03910100000000040787,6.3,busan-road-polygon:31813,,2.0,RDQ006,206.9,crosswalk:3044,수협앞,false,49.8,public_toilet:1567,젤코바주유소,화장실,true,STC-0261,1,P2,40,CANDIDATE,"도로 polygon 20m 이내, 편의시설 50m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1203967,128.8929309","https://map.kakao.com/link/roadview/35.1203967,128.8929309",MANUAL_REVIEW,MEDIUM,p2_needs_context_check,LIKELY_EXCLUDE,MEDIUM,p1_p2_private_or_commercial_context_weak_walk_clue
stairs:145,강서구,계단,35.1597306,128.8586634,0.00,121.94,100035816035C03910100000000010745,16.2,busan-road-polygon:22786,,20.0,RDQ006,2087.4,crosswalk:2795,아성다이소물류창고,false,425.6,public_toilet:1569,남강공원,화장실,false,STC-0138,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1597306,128.8586634","https://map.kakao.com/link/roadview/35.1597306,128.8586634",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:80,강서구,계단,35.2134966,128.9469970,0.00,13.80,100035816018C03910100000000009553,5.8,busan-road-polygon:7676,,4.0,RDQ006,120.9,crosswalk:3244,평강삼거리,false,84.3,public_toilet:1545,평강주유소,화장실,false,STC-0076,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2134966,128.9469970","https://map.kakao.com/link/roadview/35.2134966,128.9469970",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:49,강서구,계단,35.2200330,128.9362476,0.00,6.16,100035816018C03910100000000009520,6.3,busan-road-polygon:8564,,3.0,RDQ006,173.5,crosswalk:3248,대사초등학교,false,151.1,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0046,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2200330,128.9362476","https://map.kakao.com/link/roadview/35.2200330,128.9362476",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:278,강서구,계단,35.1202751,128.8939319,0.00,29.88,100035816056C03910100000000040785,6.4,busan-road-polygon:31810,,10.0,RDQ006,188.4,crosswalk:3037,녹산교,false,131.6,public_toilet:1567,젤코바주유소,화장실,false,STC-0259,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1202751,128.8939319","https://map.kakao.com/link/roadview/35.1202751,128.8939319",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:277,강서구,계단,35.1205968,128.8939909,0.00,33.63,100035816056C03910100000000040784,6.5,busan-road-polygon:31810,,10.0,RDQ006,152.5,crosswalk:3037,녹산교,false,145.8,public_toilet:1567,젤코바주유소,화장실,false,STC-0258,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1205968,128.8939909","https://map.kakao.com/link/roadview/35.1205968,128.8939909",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:54,강서구,계단,35.2200779,128.9367783,0.00,2.43,100035816018C03910100000000009526,7.9,busan-road-polygon:7972,,5.3,RDQ006,210.5,crosswalk:3248,대사초등학교,false,144.4,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0051,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2200779,128.9367783","https://map.kakao.com/link/roadview/35.2200779,128.9367783",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:72,강서구,계단,35.2151554,128.9423134,0.00,7.79,100035816018C03910100000000009545,8.9,busan-road-polygon:8253,,3.5,RDQ006,167.8,crosswalk:3246,용화사,false,194.4,public_toilet:1665,우리2주유소,화장실,false,STC-0069,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2151554,128.9423134","https://map.kakao.com/link/roadview/35.2151554,128.9423134",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:189,강서구,계단,35.0146148,128.7688725,0.00,28.76,100035816091C03910100000000037059,9.0,busan-road-polygon:40219,나주-부산선,13.0,RDQ006,4403.2,crosswalk:2800,(천성~눌차간)서중2교차로,false,3680.8,public_toilet:1487,대양산업(주)대양가덕주유소,화장실,false,STC-0177,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0146148,128.7688725","https://map.kakao.com/link/roadview/35.0146148,128.7688725",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:22,강서구,계단,35.2194628,128.9452151,0.00,14.51,100035816018C03910100000000009483,9.4,busan-road-polygon:8000,,5.0,RDQ006,422.0,crosswalk:3246,용화사,false,442.5,public_toilet:1665,우리2주유소,화장실,false,STC-0020,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2194628,128.9452151","https://map.kakao.com/link/roadview/35.2194628,128.9452151",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
