sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode,secondPassDecision,secondPassConfidence,secondPassReasonCode
stairs:238,강서구,계단,35.1379408,128.9186616,0.00,124.77,100035816047C03910100000000040733,7.5,busan-road-polygon:1777,,15.0,RDQ006,1557.6,crosswalk:2993,삼광초교,false,2350.9,barrier_free_facility:9433,그날이후불타는삼겹살,음식·카페,false,STC-0223,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1379408,128.9186616","https://map.kakao.com/link/roadview/35.1379408,128.9186616",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:201,강서구,계단,35.1488045,128.8178112,0.00,80.75,100035816043C03910100000000038170,7.8,busan-road-polygon:35551,,3.0,RDQ006,164.4,crosswalk:3013,지사2지점,false,1103.3,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0189,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1488045,128.8178112","https://map.kakao.com/link/roadview/35.1488045,128.8178112",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:266,강서구,계단,35.1072787,128.9212428,0.00,67.23,100035816057C03910100000000040769,10.4,busan-road-polygon:33715,,18.0,RDQ006,734.3,crosswalk:3047,명지동사무소,false,397.1,public_toilet:1493,명지노인종합복지관 화장실,화장실,false,STC-0248,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1072787,128.9212428","https://map.kakao.com/link/roadview/35.1072787,128.9212428",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:334,강서구,계단,35.0947432,128.9154520,0.00,60.53,100035816067C03910100000000040890,11.0,busan-road-polygon:32922,,14.0,RDQ006,156.1,crosswalk:2900,중흥S클래스 프라디움,false,297.3,public_toilet:1568,명지1동행정복지센터,화장실,false,STC-0313,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0947432,128.9154520","https://map.kakao.com/link/roadview/35.0947432,128.9154520",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:136,강서구,맥도생태공원,35.1550085,128.9558111,0.00,66.69,100035816039C03910100000000010724,13.0,busan-road-polygon:41494,남해고속국도제2지선,22.0,RDQ006,60.9,crosswalk:3217,강변가든,false,226.2,public_toilet:1653,낙동강관리본부 맥도생태공원 1,화장실,false,STC-0129,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1550085,128.9558111","https://map.kakao.com/link/roadview/35.1550085,128.9558111",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:148,강서구,계단,35.1503813,128.8197869,0.00,53.77,100035816033C03910100000000010895,13.2,busan-road-polygon:42067,,13.0,RDQ006,71.3,crosswalk:2883,지사2지점,false,1042.1,public_toilet:1591,지사민원센터,화장실,false,STC-0141,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1503813,128.8197869","https://map.kakao.com/link/roadview/35.1503813,128.8197869",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:142,강서구,계단,35.1553748,128.8855882,0.00,93.29,100035816036C03910100000000010740,16.5,busan-road-polygon:22004,,8.0,RDQ006,112.6,crosswalk:3180,등대휴게소,false,141.8,public_toilet:1517,녹산고향동산1(기념관),화장실,false,STC-0135,1,P3,30,LOW_PRIORITY,"도로 polygon 20m 이내, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1553748,128.8855882","https://map.kakao.com/link/roadview/35.1553748,128.8855882",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:132,강서구,계단,35.2010944,128.9677638,0.00,9.62,100035816019C03910100000000009849,5.1,busan-road-polygon:4807,,5.2,RDQ006,180.4,crosswalk:3227,신덕마을,false,283.9,public_toilet:1488,개인택시 신공항LPG충전소,화장실,false,STC-0125,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2010944,128.9677638","https://map.kakao.com/link/roadview/35.2010944,128.9677638",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:166,강서구,계단,35.0333424,128.8090741,0.00,7.87,100035816083C03910100000000037033,5.6,busan-road-polygon:23753,,5.0,RDQ006,251.5,crosswalk:2800,(천성~눌차간)서중2교차로,false,337.3,public_toilet:1566,두문마을앞,화장실,false,STC-0158,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0333424,128.8090741","https://map.kakao.com/link/roadview/35.0333424,128.8090741",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check,MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check_still_needs_visual_check
stairs:349,강서구,계단,35.0818387,128.8789376,0.00,17.88,100035816066C03910100000000040906,5.7,busan-road-polygon:30199,,6.0,RDQ006,163.4,crosswalk:3028,신호지방산업단지(9),false,191.0,barrier_free_facility:9814,일반음식점,음식·카페,false,STC-0328,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0818387,128.8789376","https://map.kakao.com/link/roadview/35.0818387,128.8789376",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
